qID,p_clip_real,p_clip_degraded,delta
heico__2278521,0.9519198536872864,0.1041206568479538,-0.8477991968393326
heico__2278523,0.9311168193817139,0.4369538426399231,-0.49416297674179077
heico__2278525,0.9655620455741882,0.8659717440605164,-0.09959030151367188
heico__2278526,0.9928135275840759,0.9969867467880249,0.004173219203948975
heico__2298569,0.5163992047309875,0.5332257747650146,0.0168265700340271
heico__2298497,0.983354389667511,0.9904308915138245,0.0070765018463134766
heico__2298504,0.6471627950668335,0.20042799413204193,-0.44673480093479156
heico__2359441,0.9722014665603638,0.9490353465080261,-0.023166120052337646
heico__2359446,0.9596809148788452,0.9036552906036377,-0.05602562427520752
heico__2294431,0.4349648952484131,0.0993826687335968,-0.3355822265148163
heico__2294528,0.9412412047386169,0.8703335523605347,-0.07090765237808228
heico__2298486,0.48490944504737854,0.4187460243701935,-0.06616342067718506
heico__2294302,0.9157266020774841,0.6072880029678345,-0.30843859910964966
heico__2298659,0.8322559595108032,0.7506101727485657,-0.08164578676223755
heico__2298350,0.8451330661773682,0.5323609709739685,-0.31277209520339966
heico__2298543,0.6205613613128662,0.3854252099990845,-0.23513615131378174
heico__2298252,0.5449620485305786,0.9622158408164978,0.4172537922859192
heico__2383197,0.5979575514793396,0.8738307356834412,0.27587318420410156
heico__2298343,0.6462106108665466,0.9053532481193542,0.2591426372528076
heico__2383199,0.7251136898994446,0.8427354693412781,0.1176217794418335
heico__2278535,0.8326780796051025,0.9272048473358154,0.09452676773071289
heico__2278543,0.9897199869155884,0.993897020816803,0.0041770339012146
heico__2359163,0.9570257067680359,0.9497588276863098,-0.007266879081726074
heico__2298431,0.9884876012802124,0.8908714056015015,-0.09761619567871094
heico__2298597,0.9010232090950012,0.9364679455757141,0.03544473648071289
heico__2383211,0.4899042844772339,0.2481425553560257,-0.2417617291212082
heico__2298264,0.8957697153091431,0.5850229263305664,-0.31074678897857666
heico__2278563,0.6546334028244019,0.6757725477218628,0.021139144897460938
heico__2298353,0.921675443649292,0.5277527570724487,-0.39392268657684326
heico__2278578,0.6958056688308716,0.4312564730644226,-0.264549195766449
heico__2278579,0.8032554388046265,0.7070397734642029,-0.09621566534042358
heico__2298556,0.936512291431427,0.8873764872550964,-0.049135804176330566
heico__2298538,0.5559375882148743,0.35556092858314514,-0.20037665963172913
heico__2359381,0.41402608156204224,0.13422459363937378,-0.27980148792266846
heico__2298333,0.5834656953811646,0.255520224571228,-0.3279454708099365
heico__2405933,0.9463338255882263,0.9795047640800476,0.03317093849182129
heico__2405946,0.7973430156707764,0.9219203591346741,0.1245773434638977
heico__2405977,0.8995023369789124,0.05256657302379608,-0.8469357639551163
heico__2405978,0.8514299988746643,0.5578616857528687,-0.29356831312179565
heico__2405980,0.7544204592704773,0.037051256746053696,-0.7173692025244236
heico__2405996,0.9620842337608337,0.9572713971138,-0.004812836647033691
heico__2405999,0.9704936146736145,0.9839498996734619,0.013456284999847412
heico__2406000,0.9521217346191406,0.9521763920783997,5.46574592590332e-05
heico__2406007,0.946039080619812,0.7301328778266907,-0.21590620279312134
heico__2406021,0.7966470122337341,0.9663918614387512,0.1697448492050171
